Номер операции      Угол элевации       Угол курса
0                   0               0
1                   19.4712               0
2                   19.4988               1.60428
3                   19.4988               1.60428
4                   19.5129               2.40642
5                   19.5416               4.0107
6                   19.5416               4.0107
7                   19.5711               5.61499
8                   19.5711               5.61499
9                   19.6014               7.21927
10                   19.6014               7.21927
11                   19.6323               8.82355
12                   19.6481               9.62569
13                   19.6481               9.62569
14                   19.6801               11.23
15                   19.6801               11.23
16                   19.7128               12.8343
17                   19.7128               12.8343
18                   19.7461               14.4385
19                   19.7461               14.4385
20                   19.7801               16.0428
21                   19.7801               16.0428
22                   19.8148               17.6471
23                   19.8148               17.6471
24                   19.8324               18.4492
25                   19.8679               20.0535
26                   19.8679               20.0535
27                   19.9041               21.6578
28                   19.9041               21.6578
29                   19.9408               23.2621
30                   19.9408               23.2621
31                   19.9594               24.0642
32                   19.9969               25.6685
33                   20.0158               26.4707
34                   20.0158               26.4707
35                   20.0349               27.2728
36                   20.0734               28.8771
37                   20.0734               28.8771
38                   20.1124               30.4814
39                   20.1124               30.4814
40                   20.1519               32.0856
41                   20.1519               32.0856
42                   20.1917               33.6899
43                   20.1917               33.6899
44                   20.2319               35.2942
45                   20.2319               35.2942
46                   20.2725               36.8985
47                   20.2725               36.8985
48                   20.3135               38.5028
49                   20.3135               38.5028
50                   20.3547               40.107
51                   20.3754               40.9092
52                   20.3754               40.9092
53                   20.3962               41.7113
54                   20.3962               41.7113
55                   20.438               43.3156
56                   20.438               43.3156
57                   20.4589               44.1178
58                   20.501               45.722
59                   20.501               45.722
60                   20.5433               47.3263
61                   20.5433               47.3263
62                   20.5644               46.5242
63                   20.6069               44.9199
64                   20.6069               44.9199
65                   20.6496               46.5242
66                   20.6496               46.5242
67                   20.671               45.722
68                   20.7139               47.3263
69                   20.7139               47.3263
70                   20.7354               46.5242
71                   20.757               45.722
72                   20.8003               47.3263
73                   20.8003               47.3263
74                   20.8437               45.722
75                   20.8437               45.722
76                   20.8655               46.5242
77                   20.9092               44.9199
78                   20.9092               44.9199
79                   20.9531               46.5242
